symbol,description,path,trade_mode,digits,spread,trade_contract_size,trade_currency,quote_currency,margin_currency,is_visible
XAGEUR,Silver vs Euro,Commodities\Metals\XAGEUR,4,3,0,1000.0,XAG,EUR,XAG,False
XAGUSD,Silver vs US Dollar,Commodities\Metals\XAGUSD,4,3,0,1000.0,XAG,USD,XAG,False
XAUEUR,Gold vs Euro,Commodities\Metals\XAUEUR,4,2,0,100.0,XAU,EUR,XAU,False
XAUUSD,Gold vs US Dollar,Commodities\Metals\XAUUSD,4,2,22,100.0,XAU,USD,XAU,True
XPDUSD,Palladium vs US Dollar,Commodities\Metals\XPDUSD,4,2,0,100.0,XPD,USD,XPD,False
XPTUSD,Platinum vs US Dollar,Commodities\Metals\XPTUSD,4,2,0,100.0,XPT,USD,XPT,False
XAUAUD,Gold vs Australian Dollar,Commodities\Metals\XAUAUD,4,2,0,100.0,XAU,AUD,XAU,False
XAUJPY,Gold vs Japanese Yen,Commodities\Metals\XAUJPY,4,0,0,100.0,XAU,JPY,XAU,False
XAUCHF,Gold vs Swiss Franc,Commodities\Metals\XAUCHF,4,2,0,100.0,XAU,CHF,XAU,False
XAUGBP,Gold vs Great Britain Pound,Commodities\Metals\XAUGBP,4,2,0,100.0,XAU,GBP,XAU,False
XAGAUD,Silver vs Australian Dollar,Commodities\Metals\XAGAUD,4,3,0,1000.0,XAG,AUD,XAG,False
AUS200,Australia 200 Index,Indices\Indices Spot\Major Spot Indices\AUS200,4,2,0,1.0,USD,AUD,AUD,False
CHINA50,FTSE China A50 Index,Indices\Indices Spot\Minor Spot Indices\CHINA50,4,2,0,1.0,USD,USD,USD,False
ES35,Spain 35 Index,Indices\Indices Spot\Minor Spot Indices\ES35,4,2,0,1.0,USD,EUR,EUR,False
STOXX50,EU Stocks 50 Index,Indices\Indices Spot\Major Spot Indices\STOXX50,4,2,0,1.0,USD,EUR,EUR,False
F40,France 40 Index,Indices\Indices Spot\Major Spot Indices\F40,4,2,0,1.0,USD,EUR,EUR,False
HK50,Hong Kong 50 Index,Indices\Indices Spot\Minor Spot Indices\HK50,4,2,0,1.0,USD,HKD,HKD,False
IT40,Italy 40 Index,Indices\Indices Spot\Minor Spot Indices\IT40,4,2,0,1.0,USD,EUR,EUR,False
JP225,Japan 225 Index,Indices\Indices Spot\Major Spot Indices\JP225,4,2,0,1.0,USD,JPY,JPY,False
UK100,UK 100 Index,Indices\Indices Spot\Major Spot Indices\UK100,4,2,0,1.0,USD,GBP,GBP,False
US2000,US Small Cap 2000 Index,Indices\Indices Spot\Minor Spot Indices\US2000,4,2,0,1.0,USD,USD,USD,False
US30,US Wall Street 30 Index,Indices\Indices Spot\Major Spot Indices\US30,4,2,120,1.0,USD,USD,USD,True
US500,US SPX 500 Index,Indices\Indices Spot\Major Spot Indices\US500,4,2,0,1.0,USD,USD,USD,False
USTEC,US Tech 100 Index,Indices\Indices Spot\Major Spot Indices\USTEC,4,2,0,1.0,USD,USD,USD,False
CA60,Canada 60 Index,Indices\Indices Spot\Minor Spot Indices\CA60,4,2,0,1.0,CAD,CAD,CAD,False
NETH25,Netherlands 25 Index,Indices\Indices Spot\Minor Spot Indices\NETH25,4,2,0,1.0,EUR,EUR,EUR,False
SE30,Sweden 30 Index,Indices\Indices Spot\Minor Spot Indices\SE30,4,2,0,1.0,SEK,SEK,SEK,False
SWI20,Switzerland 20 Index,Indices\Indices Spot\Minor Spot Indices\SWI20,4,2,0,1.0,CHF,CHF,CHF,False
CHINAH,Hong Kong China H-shares Index,Indices\Indices Spot\Minor Spot Indices\CHINAH,4,2,0,1.0,HKD,HKD,HKD,False
SA40,South Africa 40 Index,Indices\Indices Spot\Minor Spot Indices\SA40,4,2,0,1.0,ZAR,ZAR,ZAR,False
NOR25,Norway 25 Index,Indices\Indices Spot\Minor Spot Indices\NOR25,4,2,0,1.0,NOK,NOK,NOK,False
TecDE30,Germany Tech 30 Index,Indices\Indices Spot\Minor Spot Indices\TecDE30,4,2,0,1.0,EUR,EUR,EUR,False
MidDE60,Germany Mid 60 Index,Indices\Indices Spot\Minor Spot Indices\MidDE60,3,2,0,1.0,EUR,EUR,EUR,False
DE40,Germany 40 Index,Indices\Indices Spot\Major Spot Indices\DE40,4,2,0,1.0,USD,EUR,EUR,False
MidDE50,Germany Mid 50 Index,Indices\Indices Spot\Minor Spot Indices\MidDE50,4,2,0,1.0,EUR,EUR,EUR,False
VIX_X5,Volatility Index - November 25 CFD,Indices\Indices Futures\VIX_X5,4,2,0,1.0,USD,USD,USD,False
VIX_Z5,Volatility Index - December 25 CFD,Indices\Indices Futures\VIX_Z5,0,2,0,1.0,USD,USD,USD,False
DXY_Z5,US Dollar Index -December 25 CFD,Indices\Indices Futures\DXY_Z5,4,3,30,100.0,USD,USD,USD,True
XBRUSD,Brent Oil vs US Dollar,Commodities\Energies\Energies Spot\XBRUSD,4,2,0,100.0,XBR,USD,XBR,False
XNGUSD,Natural Gas vs US Dollar,Commodities\Energies\Energies Spot\XNGUSD,4,4,0,10000.0,XNG,USD,XNG,False
XTIUSD,Crude Oil vs US Dollar,Commodities\Energies\Energies Spot\XTIUSD,4,2,0,100.0,XTI,USD,XTI,False
WTI_V5,US Crude Oil -October 25 CFD,Commodities\Energies\Energies Futures\WTI_V5,0,2,0,100.0,USD,USD,USD,False
WTI_Z5,US Crude Oil -December 25 CFD,Commodities\Energies\Energies Futures\WTI_Z5,4,2,0,100.0,USD,USD,USD,False
BRENT_F6,Crude Oil Brent -January 26 CFD,Commodities\Energies\Energies Futures\BRENT_F6,4,2,0,100.0,USD,USD,USD,False
BRENT_G6,Crude Oil Brent -February 26 CFD,Commodities\Energies\BRENT_G6,0,2,0,100.0,USD,USD,USD,False
WTI_F6,US Crude Oil -January 26 CFD,Commodities\Energies\WTI_F6,0,2,0,100.0,USD,USD,USD,False
Wheat_Z5,Wheat -December 25 CFD,Commodities\Softs\Wheat_Z5,4,2,0,4.0,USD,USD,USD,False
Cocoa_Z5,Cocoa -December 25 CFD,Commodities\Softs\Cocoa_Z5,3,0,0,1.0,USD,USD,USD,False
Corn_Z5,Corn -December 25 CFD,Commodities\Softs\Corn_Z5,4,2,0,4.0,USD,USD,USD,False
Coffee_Z5,Coffee C -December 25 CFD,Commodities\Softs\Coffee_Z5,3,2,0,10.0,USD,USD,USD,False
Wheat_H6,Wheat -March 26 CFD,Commodities\Softs\Wheat_H6,0,2,0,4.0,USD,USD,USD,False
Sugar_H6,Sugar -March 26 CFD,Commodities\Softs\Sugar_H6,4,2,0,100.0,USD,USD,USD,False
Cocoa_H6,Cocoa -March 26 CFD,Commodities\Softs\Cocoa_H6,4,0,0,1.0,USD,USD,USD,False
Cotton_H6,Cotton No 2 -March 26 CFD,Commodities\Softs\Cotton_H6,4,2,0,100.0,USD,USD,USD,False
