ticket,order,symbol,type,volume,price,profit,swap,commission,time
1066910673,1305764561,EURNZD,0,0.01,2.04424,0.0,0.0,0.0,2025-11-06 23:58:49
1066910438,1305764316,NZDJPY,1,0.01,86.465,0.0,0.0,0.0,2025-11-06 23:58:40
1066909722,1305763458,USDJPY,1,0.01,153.417,0.0,0.0,0.0,2025-11-06 23:58:13
1066909466,1305763139,USDJPY,0,0.01,153.45,0.58,0.0,0.0,2025-11-06 23:58:02
1066909465,1305763138,USDCHF,0,0.01,0.80866,-0.37,0.0,0.0,2025-11-06 23:58:02
1066909464,1305763137,USDCAD,1,0.01,1.41246,0.06,0.0,0.0,2025-11-06 23:58:02
1066909463,1305763136,NZDUSD,0,0.01,0.56378,0.15,0.0,0.0,2025-11-06 23:58:02
1066909462,1305763135,NZDJPY,0,0.01,86.508,0.27,0.0,0.0,2025-11-06 23:58:02
1066909461,1305763134,NZDCHF,0,0.01,0.45589,0.07,0.0,0.0,2025-11-06 23:58:02
1066909460,1305763133,NZDCAD,0,0.01,0.7962,0.11,0.0,0.0,2025-11-06 23:58:02
1066909459,1305763132,GBPNZD,1,0.01,2.32117,0.34,0.0,0.0,2025-11-06 23:58:02
1066909458,1305763131,GBPCAD,1,0.01,1.84798,0.06,0.0,0.0,2025-11-06 23:58:02
1066909457,1305763130,GBPAUD,1,0.01,2.0184,0.74,0.0,0.0,2025-11-06 23:58:02
1066909456,1305763129,EURUSD,1,0.02,1.15215,-0.22,0.0,0.0,2025-11-06 23:58:02
1066909455,1305763128,EURNZD,1,0.01,2.04381,0.48,0.0,0.0,2025-11-06 23:58:02
1066909454,1305763127,EURCAD,1,0.01,1.62716,-0.01,0.0,0.0,2025-11-06 23:58:02
1066909453,1305763126,EURAUD,1,0.01,1.77722,0.8,0.0,0.0,2025-11-06 23:58:02
1066909452,1305763125,AUDUSD,0,0.01,0.64833,0.26,0.0,0.0,2025-11-06 23:58:02
1066909451,1305763124,AUDNZD,1,0.01,1.14995,-0.33,0.0,0.0,2025-11-06 23:58:02
1066909450,1305763123,AUDJPY,0,0.01,99.483,0.46,0.0,0.0,2025-11-06 23:58:02
1066909449,1305763122,AUDCHF,0,0.01,0.52428,0.23,0.0,0.0,2025-11-06 23:58:02
1066909448,1305763121,AUDCAD,0,0.01,0.91563,0.33,0.0,0.0,2025-11-06 23:58:02
1066902498,1305755014,GBPCAD,0,0.01,1.8479,0.0,0.0,0.0,2025-11-06 23:55:13
1066899132,1305751238,EURCAD,0,0.01,1.62718,0.0,0.0,0.0,2025-11-06 23:54:10
1066898934,1305751014,AUDNZD,0,0.01,1.15054,0.0,0.0,0.0,2025-11-06 23:54:04
1066897153,1305748841,EURUSD,0,0.02,1.15226,0.0,0.0,0.0,2025-11-06 23:53:06
1066893148,1305744279,GBPNZD,0,0.01,2.32057,0.0,0.0,0.0,2025-11-06 23:51:45
1066892068,1305743111,USDCAD,0,0.01,1.41237,0.0,0.0,0.0,2025-11-06 23:51:27
1066890913,1305741759,AUDUSD,1,0.01,0.64859,0.0,0.0,0.0,2025-11-06 23:51:00
1066890155,1305740924,GBPAUD,0,0.01,2.01726,0.0,0.0,0.0,2025-11-06 23:50:44
1066890149,1305740914,NZDUSD,1,0.01,0.56393,0.0,0.0,0.0,2025-11-06 23:50:43
1066890127,1305740888,NZDCHF,1,0.01,0.45595,0.0,0.0,0.0,2025-11-06 23:50:42
1066890003,1305740737,AUDJPY,1,0.01,99.553,0.0,0.0,0.0,2025-11-06 23:50:37
1066889918,1305740630,NZDJPY,1,0.01,86.549,0.0,0.0,0.0,2025-11-06 23:50:35
1066888234,1305738882,NZDCAD,1,0.01,0.79636,0.0,0.0,0.0,2025-11-06 23:50:06
1066887255,1305737608,AUDCAD,1,0.01,0.9161,0.0,0.0,0.0,2025-11-06 23:49:43
1066887231,1305737576,EURAUD,0,0.01,1.77599,0.0,0.0,0.0,2025-11-06 23:49:43
1066887157,1305737496,EURNZD,0,0.01,2.04296,0.0,0.0,0.0,2025-11-06 23:49:41
1066876150,1305724537,USDCHF,1,0.01,0.80836,0.0,0.0,0.0,2025-11-06 23:45:04
1066868165,1305714768,USDJPY,1,0.01,153.539,0.0,0.0,0.0,2025-11-06 23:42:05
1066866039,1305712232,AUDCHF,1,0.01,0.52447,0.0,0.0,0.0,2025-11-06 23:41:36
1066865301,1305711426,USDJPY,0,0.01,153.557,-0.2,0.0,0.0,2025-11-06 23:41:30
1066865300,1305711425,USDCHF,0,0.01,0.80841,-0.38,0.0,0.0,2025-11-06 23:41:30
1066865299,1305711424,USDCAD,1,0.01,1.41171,0.67,0.0,0.0,2025-11-06 23:41:30
1066865298,1305711423,NZDUSD,0,0.01,0.56439,0.05,0.0,0.0,2025-11-06 23:41:30
1066865297,1305711422,NZDJPY,0,0.01,86.662,0.72,0.0,0.0,2025-11-06 23:41:30
1066865296,1305711421,NZDCHF,0,0.01,0.45625,0.43,0.0,0.0,2025-11-06 23:41:30
1066865295,1305711420,NZDCAD,0,0.01,0.79665,0.45,0.0,0.0,2025-11-06 23:41:30
