ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
1064732919,1303210945,2025-11-05 12:11:02,1762344662447,0,0,0,1303210945,3,0.01,1.84114,0.0,0.0,0.0,0.0,GBPCAD,MACD_Strategy,
1064746951,1303227167,2025-11-05 12:21:41,1762345301272,0,0,0,1303227167,3,0.76,200.323,0.0,0.0,0.0,0.0,GBPJPY,MACD_Strategy,
1064746961,1303227178,2025-11-05 12:21:41,1762345301816,0,0,0,1303227178,3,0.65,1.8414899999999998,0.0,0.0,0.0,0.0,GBPCAD,MACD_Strategy,
1064747572,1303227958,2025-11-05 12:22:27,1762345347597,1,1,0,1303210945,0,0.01,1.84144,0.0,0.0,0.21,0.0,GBPCAD,,
1064753325,1303235387,2025-11-05 12:30:42,1762345842565,1,1,0,1303227167,0,0.76,200.295,0.0,0.0,-13.84,0.0,GBPJPY,,
1064753329,1303235395,2025-11-05 12:30:43,1762345843567,1,1,0,1303227178,0,0.65,1.84148,0.0,0.0,-0.46,0.0,GBPCAD,,
1064757877,1303240706,2025-11-05 12:35:09,1762346109454,0,0,0,1303240706,3,0.64,1.84152,0.0,0.0,0.0,0.0,GBPCAD,MACD_Strategy,
1064760651,1303243908,2025-11-05 12:38:32,1762346312975,1,0,0,1303243908,3,0.01,0.88108,0.0,0.0,0.0,0.0,EURGBP,MACD_Strategy,
1064760655,1303243913,2025-11-05 12:38:33,1762346313497,0,0,0,1303243913,3,0.01,1.7715800000000002,0.0,0.0,0.0,0.0,EURAUD,MACD_Strategy,
1064760657,1303243915,2025-11-05 12:38:34,1762346314025,0,0,0,1303243915,3,0.01,1.84144,0.0,0.0,0.0,0.0,GBPCAD,MACD_Strategy,
1064760660,1303243918,2025-11-05 12:38:34,1762346314548,0,0,0,1303243918,3,0.01,1.41344,0.0,0.0,0.0,0.0,USDCAD,MACD_Strategy,
1064760719,1303243978,2025-11-05 12:38:38,1762346318786,0,0,0,1303243978,3,0.01,1.77168,0.0,0.0,0.0,0.0,EURAUD,MACD_Strategy,
1064762868,1303246451,2025-11-05 12:40:18,1762346418883,1,1,0,1303240706,0,0.64,1.8415599999999999,0.0,0.0,1.81,0.0,GBPCAD,,
1064767962,1303251954,2025-11-05 12:45:00,1762346700653,0,0,10981,1303251954,3,0.01,1.41344,0.0,0.0,0.0,0.0,USDCAD,,
1064793938,1303283112,2025-11-05 13:03:01,1762347781464,0,0,0,1303283112,3,0.01,1.8403399999999999,0.0,0.0,0.0,0.0,GBPCAD,MACD_Strategy,
1064793950,1303283133,2025-11-05 13:03:02,1762347782006,0,0,0,1303283133,3,0.01,0.88192,0.0,0.0,0.0,0.0,EURGBP,MACD_Strategy,
1064793976,1303283158,2025-11-05 13:03:02,1762347782766,0,0,0,1303283158,3,0.01,176.449,0.0,0.0,0.0,0.0,EURJPY,MACD_Strategy,
1064793985,1303283172,2025-11-05 13:03:03,1762347783298,1,0,0,1303283172,3,0.01,200.072,0.0,0.0,0.0,0.0,GBPJPY,MACD_Strategy,
1064794149,1303283356,2025-11-05 13:03:09,1762347789870,0,0,0,1303283356,3,0.01,2.03522,0.0,0.0,0.0,0.0,EURNZD,MACD_Strategy,
1064794159,1303283365,2025-11-05 13:03:10,1762347790456,0,0,0,1303283365,3,0.01,1.14818,0.0,0.0,0.0,0.0,AUDNZD,MACD_Strategy,
1064800255,1303290624,2025-11-05 13:07:45,1762348065130,1,1,0,1303243915,4,0.01,1.8397700000000001,0.0,0.0,-1.18,0.0,GBPCAD,[sl 1.83978],
1064800256,1303290625,2025-11-05 13:07:45,1762348065130,1,1,0,1303283112,4,0.01,1.8397700000000001,0.0,0.0,-0.4,0.0,GBPCAD,[sl 1.83978],
1064807703,1303299557,2025-11-05 13:14:12,1762348452307,0,1,0,1303243908,0,0.01,0.88227,0.0,0.0,-1.55,0.0,EURGBP,,
1064855621,1303357618,2025-11-05 13:56:24,1762350984939,0,1,0,1303283172,4,0.01,200.228,0.0,0.0,-1.02,0.0,GBPJPY,[sl 200.218],
1064900762,1303409785,2025-11-05 14:27:11,1762352831025,1,1,0,1303283365,0,0.01,1.14841,0.0,0.0,0.13,0.0,AUDNZD,,
1064900794,1303409820,2025-11-05 14:27:11,1762352831989,1,1,0,1303243913,0,0.01,1.77286,0.0,0.0,0.83,0.0,EURAUD,,
1064900804,1303409834,2025-11-05 14:27:12,1762352832731,1,1,0,1303243978,0,0.01,1.77286,0.0,0.0,0.76,0.0,EURAUD,,
1064900815,1303409845,2025-11-05 14:27:13,1762352833417,1,1,0,1303283133,0,0.01,0.88111,0.0,0.0,-1.06,0.0,EURGBP,,
1064900831,1303409859,2025-11-05 14:27:14,1762352834390,1,1,0,1303283158,0,0.01,176.56,0.0,0.0,0.72,0.0,EURJPY,,
1064900843,1303409870,2025-11-05 14:27:14,1762352834735,1,1,0,1303283356,0,0.01,2.03602,0.0,0.0,0.45,0.0,EURNZD,,
1064900860,1303409894,2025-11-05 14:27:15,1762352835663,1,1,0,1303243918,0,0.01,1.41308,0.0,0.0,-0.25,0.0,USDCAD,,
1064900871,1303409908,2025-11-05 14:27:16,1762352836383,1,1,0,1303251954,0,0.01,1.41308,0.0,0.0,-0.25,0.0,USDCAD,,
1065013126,1303545434,2025-11-05 15:43:51,1762357431868,0,0,0,1303545434,3,0.01,1.62293,0.0,0.0,0.0,0.0,EURCAD,MACD_Strategy,
1065042103,1303581827,2025-11-05 16:00:47,1762358447914,0,0,0,1303581827,0,0.01,1.62178,0.0,0.0,0.0,0.0,EURCAD,,
1065053387,1303595222,2025-11-05 16:06:22,1762358782784,1,0,0,1303595222,3,0.01,0.8808,0.0,0.0,0.0,0.0,EURGBP,MACD_ATR_Strateg,
1065053604,1303595471,2025-11-05 16:06:31,1762358791665,1,0,0,1303595471,3,0.01,0.88081,0.0,0.0,0.0,0.0,EURGBP,MACD_ATR_Strateg,
1065053781,1303595690,2025-11-05 16:06:39,1762358799726,0,1,0,1303595471,4,0.01,0.88093,0.0,0.0,-0.16,0.0,EURGBP,[sl 0.88094],
1065054234,1303596283,2025-11-05 16:07:01,1762358821325,0,1,0,1303595222,4,0.01,0.88097,0.0,0.0,-0.22,0.0,EURGBP,[sl 0.88097],
1065058789,1303601501,2025-11-05 16:09:39,1762358979924,1,0,0,1303601501,3,0.01,2.00797,0.0,0.0,0.0,0.0,GBPAUD,MACD_ATR_Strateg,
1065067532,1303611539,2025-11-05 16:14:22,1762359262124,0,1,0,1303601501,4,0.01,2.00862,0.0,0.0,-0.42,0.0,GBPAUD,[sl 2.00862],
1065078291,1303624892,2025-11-05 16:21:25,1762359685410,1,0,0,1303624892,3,0.01,0.88137,0.0,0.0,0.0,0.0,EURGBP,MACD_ATR_Strateg,
1065078315,1303624922,2025-11-05 16:21:25,1762359685991,1,0,0,1303624922,3,0.01,1.1480299999999999,0.0,0.0,0.0,0.0,EURUSD,MACD_ATR_Strateg,
1065078330,1303624940,2025-11-05 16:21:26,1762359686533,1,0,0,1303624940,3,0.01,1.3025,0.0,0.0,0.0,0.0,GBPUSD,MACD_ATR_Strateg,
1065078341,1303624957,2025-11-05 16:21:27,1762359687230,0,0,0,1303624957,3,0.01,0.5255,0.0,0.0,0.0,0.0,AUDCHF,MACD_ATR_Strateg,
1065078359,1303624980,2025-11-05 16:21:27,1762359687774,0,0,0,1303624980,3,0.01,0.81039,0.0,0.0,0.0,0.0,USDCHF,MACD_ATR_Strateg,
1065078446,1303625090,2025-11-05 16:21:32,1762359692238,0,0,0,1303625090,3,0.01,0.81038,0.0,0.0,0.0,0.0,USDCHF,MACD_ATR_Strateg,
1065078454,1303625101,2025-11-05 16:21:32,1762359692770,1,0,0,1303625101,3,0.01,1.14808,0.0,0.0,0.0,0.0,EURUSD,MACD_ATR_Strateg,
1065078584,1303625264,2025-11-05 16:21:39,1762359699554,1,0,0,1303625264,3,0.01,1.77046,0.0,0.0,0.0,0.0,EURAUD,MACD_ATR_Strateg,
1065078668,1303625360,2025-11-05 16:21:41,1762359701328,1,1,0,1303581827,0,0.01,1.62303,0.0,0.0,0.88,0.0,EURCAD,,
1065078693,1303625390,2025-11-05 16:21:42,1762359702629,1,1,0,1303545434,0,0.01,1.62303,0.0,0.0,0.07,0.0,EURCAD,,
1065080850,1303627780,2025-11-05 16:22:52,1762359772723,0,1,0,1303624940,4,0.01,1.30273,0.0,0.0,-0.23,0.0,GBPUSD,[sl 1.30272],
1065083865,1303631627,2025-11-05 16:25:10,1762359910326,0,1,0,1303624922,4,0.01,1.14825,0.0,0.0,-0.22,0.0,EURUSD,[sl 1.14825],
1065084107,1303631864,2025-11-05 16:25:11,1762359911520,0,1,0,1303625101,4,0.01,1.14828,0.0,0.0,-0.2,0.0,EURUSD,[sl 1.14828],
1065084520,1303632348,2025-11-05 16:25:19,1762359919920,1,1,0,1303624980,4,0.01,0.81022,0.0,0.0,-0.21,0.0,USDCHF,[sl 0.81022],
1065084622,1303632445,2025-11-05 16:25:21,1762359921133,1,1,0,1303625090,4,0.01,0.81019,0.0,0.0,-0.23,0.0,USDCHF,[sl 0.81021],
1065087659,1303636308,2025-11-05 16:27:41,1762360061939,0,1,0,1303624892,4,0.01,0.88149,0.0,0.0,-0.16,0.0,EURGBP,[sl 0.88151],
1065091394,1303640677,2025-11-05 16:29:19,1762360159393,1,1,0,1303624957,5,0.01,0.52566,0.0,0.0,0.2,0.0,AUDCHF,[tp 0.52566],
1065100989,1303652744,2025-11-05 16:32:46,1762360366467,0,0,0,1303652744,3,0.01,0.6487,0.0,0.0,0.0,0.0,AUDUSD,MACD_ATR_Strateg,
1065101407,1303653241,2025-11-05 16:32:51,1762360371949,0,0,0,1303653241,3,0.01,0.64876,0.0,0.0,0.0,0.0,AUDUSD,MACD_ATR_Strateg,
1065109734,1303663208,2025-11-05 16:36:00,1762360560928,0,1,0,1303625264,5,0.01,1.7699099999999999,0.0,0.0,0.36,0.0,EURAUD,[tp 1.76996],
1065120252,1303675625,2025-11-05 16:39:53,1762360793124,1,1,0,1303653241,0,0.01,0.64906,0.0,0.0,0.3,0.0,AUDUSD,,
1065120378,1303675782,2025-11-05 16:39:57,1762360797289,1,1,0,1303652744,0,0.01,0.64907,0.0,0.0,0.37,0.0,AUDUSD,,
1065128921,1303685500,2025-11-05 16:42:20,1762360940322,0,0,0,1303685500,3,0.01,1.41273,0.0,0.0,0.0,0.0,USDCAD,MACD_ATR_Strateg,
1065135512,1303693282,2025-11-05 16:45:00,1762361100699,1,0,10981,1303693282,3,0.01,1.4126400000000001,0.0,0.0,0.0,0.0,USDCAD,,
1065141899,1303700967,2025-11-05 16:47:16,1762361236674,1,0,0,1303700967,3,0.01,1.14848,0.0,0.0,0.0,0.0,EURUSD,MACD_ATR_Strateg,
1065149923,1303709981,2025-11-05 16:49:27,1762361367151,0,1,0,1303700967,4,0.01,1.1489,0.0,0.0,-0.42,0.0,EURUSD,[sl 1.14890],
1065150173,1303710270,2025-11-05 16:49:33,1762361373520,1,1,0,1303685500,4,0.01,1.41228,0.0,0.0,-0.32,0.0,USDCAD,[sl 1.41229],
1065163241,1303725280,2025-11-05 16:53:45,1762361625530,0,0,0,1303725280,3,0.01,0.93103,0.0,0.0,0.0,0.0,EURCHF,MACD_ATR_Strateg,
1065178683,1303743610,2025-11-05 17:00:00,1762362000434,1,1,0,1303725280,4,0.01,0.93082,0.0,0.0,-0.26,0.0,EURCHF,[sl 0.93068],
1065226797,1303801501,2025-11-05 17:13:44,1762362824884,1,0,0,1303801501,3,0.01,0.88077,0.0,0.0,0.0,0.0,EURGBP,MACD_ATR_Strateg,
1065226802,1303801506,2025-11-05 17:13:45,1762362825634,0,0,0,1303801506,3,0.01,0.64939,0.0,0.0,0.0,0.0,AUDUSD,MACD_ATR_Strateg,
1065228288,1303803255,2025-11-05 17:14:27,1762362867332,0,1,0,1303801501,4,0.01,0.88092,0.0,0.0,-0.2,0.0,EURGBP,[sl 0.88092],
1065228375,1303803375,2025-11-05 17:14:31,1762362871136,1,1,0,1303801506,4,0.01,0.64895,0.0,0.0,-0.44,0.0,AUDUSD,[sl 0.64898],
