ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
1064800255,1303290624,2025-11-05 13:07:45,1762348065130,1,1,0,1303243915,4,0.01,1.83977,0.0,0.0,-1.18,0.0,GBPCAD,[sl 1.83978],
1064800256,1303290625,2025-11-05 13:07:45,1762348065130,1,1,0,1303283112,4,0.01,1.83977,0.0,0.0,-0.4,0.0,GBPCAD,[sl 1.83978],
1064855621,1303357618,2025-11-05 13:56:24,1762350984939,0,1,0,1303283172,4,0.01,200.228,0.0,0.0,-1.02,0.0,GBPJPY,[sl 200.218],
1065053781,1303595690,2025-11-05 16:06:39,1762358799726,0,1,0,1303595471,4,0.01,0.88093,0.0,0.0,-0.16,0.0,EURGBP,[sl 0.88094],
1065054234,1303596283,2025-11-05 16:07:01,1762358821325,0,1,0,1303595222,4,0.01,0.88097,0.0,0.0,-0.22,0.0,EURGBP,[sl 0.88097],
1065067532,1303611539,2025-11-05 16:14:22,1762359262124,0,1,0,1303601501,4,0.01,2.00862,0.0,0.0,-0.42,0.0,GBPAUD,[sl 2.00862],
1065080850,1303627780,2025-11-05 16:22:52,1762359772723,0,1,0,1303624940,4,0.01,1.30273,0.0,0.0,-0.23,0.0,GBPUSD,[sl 1.30272],
1065083865,1303631627,2025-11-05 16:25:10,1762359910326,0,1,0,1303624922,4,0.01,1.14825,0.0,0.0,-0.22,0.0,EURUSD,[sl 1.14825],
1065084107,1303631864,2025-11-05 16:25:11,1762359911520,0,1,0,1303625101,4,0.01,1.14828,0.0,0.0,-0.2,0.0,EURUSD,[sl 1.14828],
1065084520,1303632348,2025-11-05 16:25:19,1762359919920,1,1,0,1303624980,4,0.01,0.81022,0.0,0.0,-0.21,0.0,USDCHF,[sl 0.81022],
1065084622,1303632445,2025-11-05 16:25:21,1762359921133,1,1,0,1303625090,4,0.01,0.81019,0.0,0.0,-0.23,0.0,USDCHF,[sl 0.81021],
1065087659,1303636308,2025-11-05 16:27:41,1762360061939,0,1,0,1303624892,4,0.01,0.88149,0.0,0.0,-0.16,0.0,EURGBP,[sl 0.88151],
1065149923,1303709981,2025-11-05 16:49:27,1762361367151,0,1,0,1303700967,4,0.01,1.1489,0.0,0.0,-0.42,0.0,EURUSD,[sl 1.14890],
1065150173,1303710270,2025-11-05 16:49:33,1762361373520,1,1,0,1303685500,4,0.01,1.41228,0.0,0.0,-0.32,0.0,USDCAD,[sl 1.41229],
